Sree Keerthi Fuels Indian Oil Petrol Pump,13.45399,79.16016
Bharat Petroleum Petrol Pump  KARTHIK FUEL SERVICE STATION,13.40621,79.62312
Sri Balaji Oil Agencies Indian Oil Petrol Pump,13.24917,79.11939
Bharat Petroleum Petrol Pump -V Bhaskar Naidu & Co,13.22141,79.10205
DURGAM OIL FILLING CENTRE,13.2201,79.10199
Bharat Petroleum,13.22012,79.10175
Reliance Petroleum,13.21954,79.10036
HP Petrol Pump,13.21587,79.11165
Bharat Petroleum Petrol Pump  WELCOME FILLING STATION,13.21953,79.12009
Sri Krishna Filling Station,13.22305,79.12541
Sri Krishna filling stationIOCL outlet,13.22346,79.12825
HP PETROL PUMP - C.P.DORAISWAMY & CO.,13.21451,79.09912
Indian Oil Petrol Pump Krishna Reddy & Sons,13.2134,79.09702
Vijaya Durga Service Station IOCL Petrol Pump,13.19666,79.09343
Bharat Petroleum Petrol Pump -G.J.N Translines,13.18657,79.09672
H.P Petrol Bunk,13.07295,79.13649
Essar Petrol Station,12.9908,78.47273
