Bharat Petroleum Petrol Pump -Chakka Sriramamurthy &Suryanarayana,17.34264,82.50996
HP Petrol Pump,17.32168,82.47922
SRI SATYA SRINIVASA FILLING STATION,17.27241,82.39357
HP Petrol PumpCNG filling station,17.242,82.33867
Sri Rama Stores Indian Oil Petrol Pump,17.11019,82.25415
Bharat Petroleum Petrol Pump -Chakka Sriramamurthy &Suryanarayana,17.10618,82.24755
HP PETROL PUMP - PAVAN FILLING STATION,16.98568,82.24093
Bharat Petroleum Petrol Pump -Bharat Ravi Varma Filling Station,16.90817,82.19632
HP PETROL PUMP - VEERA SAI SRI NAGENDRA AGENCIES,16.7933,82.24087
Sai Durga General Store,16.76197,82.23723
Essar Petrol Station,16.82009,82.10767
Bharat Petroleum Petrol Pump -Padma Petroleums,16.93582,81.95382
Bharat Petroleum Petrol Pump -V.Veeraraju,16.93346,81.92338
Indian Oil,16.87516,81.92847
ESSAR Petrol Filling Station,16.85879,81.98244
ABC FUELLING STATION,16.86331,81.92228
Bharat Petroleum Petrol Pump -Konaseema Petrofill,16.74394,81.83381
Bharat Petroleum Petrol Pump -Raj Petros,16.74242,81.83486
Bharat Petroleum Petrol Pump -Buchibabu Filling Centre,16.72519,81.83058
HP PETROL PUMP Kalagampudi - SSS SRINIVASA'S FUEL ENTERPRISES,16.46754,81.7598
