Sri Dhanalaxmi Petrol Bunk,16.56775,80.35764
Universal Oils,16.42615,80.57033
Subham Filling Centre,16.33884,80.42065
Amaravati Petroleums IOCL,16.32399,80.40517
amaravati petroleums,16.32051,80.4098
Swathi Filling Station,16.32476,80.43794
MRS FILLING STATION,16.31761,80.48409
Indian Oil Petrol Bunk,16.31544,80.48255
Bharat Petroleum Petrol Pump -Nageswara Service Station,16.29945,80.42928
Raju Brothers Service Station,16.29191,80.43975
PDR Petrol Bunk,16.29086,80.44236
Bharat Petroleum Petrol Pump -Pioneer Oils,16.29733,80.44636
Petrol Bunk,16.2928,80.45062
Bharat Petroleum Petrol Pump - A V Krishna Murthy & Sons,16.29346,80.45083
Petrol Indian Oil,16.29651,80.45533
Hp petrol bunk,16.29379,80.4555
Bharat Petroleum Petrol Pump -Ch.L.Narasimham & Co,16.30152,80.45903
Kasturi Petroleum,16.27511,80.43582
