Indian Oil,17.03031,80.71076
MS/HSD SRI SAI SRINIVASA FILLING STATION,16.93596,80.78625
Srimannarayana Filling Station Indian Oil Petrol Pump,16.89917,80.64342
Bharat Petroleum Petrol Pump -Hanuman Filling Station,16.79139,80.85079
Bharat Petroleum Petrol Pump -Sri Venkateswara Service Station,16.68125,80.39314
Bharat Petroleum Petrol Pump -Sri Balaji Filling Station,16.69424,80.94126
Bharat Petroleum Petrol Pump -Sri Venkateswara Automobiles,16.63372,80.97284
Bharat PetroleumCNG filling Petrol Pump -Sardar Singh Sahni & Sons,16.57714,80.85474
Bharat Petroleum Petrol Pump -K.Venkata Krishna Rao,16.54686,80.81354
Kishore Filling Station,16.60477,80.71741
HP CNG GAS & PETROL PUMP - RADHA KRISHNA SERVICE STATION: since 1968,16.49025,80.60205
Bharat Petroleum Petrol Pump -Venus Petromax,16.4323,80.99962
Bharat Petroleum Petrol Pump -Hariyali Kisaan Bazaar,16.39739,81.02571
KRISHNA DISTRICT POLICE WELFARE FILLING STATION,16.19308,81.14313
Indian Oil Petrol Pump & CNG Gas -- DOLPHIN AUTO SERVICE STATION,16.38356,80.82487
HP PETROL PUMP - SRI SAI KRISHNA FILLING STATION,16.37631,80.83139
Bharat Petroleum Petrol Pump -Balaji Filling Station,16.36116,80.85028
ESSAR filling station,16.34963,80.89216
Bharat Petroleum Petrol Pump -Rahman Fuels,16.33513,80.9186
