AL-Hind motor services,15.84503,78.00838
PETROL PUMP,15.84483,78.00888
Indian Oil COCO Petrol Pump,15.84407,78.00919
Balaji Service Station,15.83581,78.01509
M/s. Sri Gopi Filling Station,15.83552,78.01994
Bharat Petroleum Petrol Pump  SRI VENKATESWARA PURE FUELS,15.83498,78.02595
HP PETROL PUMP - MG BROTHERS III KRNL NH7 JUNCTION,15.8241,78.02093
HP Petrol Bunk - MG Brothers,15.82423,78.02114
Guru Raghavendra Gasolene Station,15.81864,78.00429
Bharat Petroleum Petrol Pump -Prems Pure Fuels,15.81789,78.02382
K. Sudhakar Reddy & Company Petrol Pump,15.83348,78.04944
RAKSHAK FUEL STATION,15.83376,78.04751
K. Narayana Murthy & Sons (Indian Oil),15.82968,78.0418
K. NARAYANA MURTHY AND SONS,15.82819,78.03721
Bharat Petroleum Petrol Pump -P. Jagannatham (Ms),15.82282,78.04
M/s. Sri Puvvadi Radha Krishna Fuels,15.79739,78.03394
Nayara Fuel Station,15.79768,78.05356
Bharat Petroleum Petrol Pump -Sri Lakshmi Ganapathi Pure Fuels,15.79446,78.053
