ESSAR Filling Station,18.3407,83.893
Indian Oil Petrol Pump,18.32147,83.89412
Sri Sivapriya Filling Station,18.31365,83.89446
Pramila Petro Club,18.30688,83.89403
Ganapathi Agencies,18.3055,83.89652
TKR Filling Station,18.31014,83.91978
Sri Surya Petrol & Diesel filling station BPCL,18.30639,83.9142
Venkateshwar Indian Oil Petrol Pump,18.29686,83.87858
Sri Durga Sai Filling Station,18.29773,83.90408
M.S. Murty & Co,18.29692,83.90309
SRIKAKULAM SERVICE STATION,18.29484,83.90013
Rodostalam,18.295,83.89378
IOB PETROL BUNK,18.2913,83.89721
Krishna Sai Filling Station (IOCL),18.29354,83.86258
Indian Oil Petrol Bunk,18.27822,83.90283
IOB PETROL BUNK,18.27628,83.90272
