Bharat Petroleum Petrol Bunk,17.74261,83.32837
HP Petrol Bunk,17.72961,83.32897
BP Petrol Bunk,17.73803,83.32262
Indian Oil,17.73239,83.31781
HPCL,17.73035,83.31481
Bharat Petroleum Petrol Pump -Lakshmi Samanvi Fuels,17.73182,83.29936
HP PETROL PUMP - SRI SIVASAILAM VISAKHAPATNAM,17.72487,83.30837
Indian Oil Petrol Pump - Akshaya Enterprises,17.72552,83.3003
Indian Oil Petrol Bunk,17.72797,83.29318
Indian Oil Petrol Pump,17.7135,83.29867
Sri Venktateswara Fuel Filling Station,17.71097,83.30159
HP PETROL PUMP - ASR MURTHY VISAKH,17.70484,83.29327
Indian Oil Petrol Pump,17.69584,83.29327
HP PETROL PUMP - KAN SONS VISAKHAPATNAM,17.7095,83.2943
BPCL- Vizag Port Petrol Bunk,17.71538,83.26554
Indian Oil Petrol Pump,17.74155,83.24254
Indian Oil Petrol Pump,17.69102,83.23241
Essar Petrol and Diesel,17.69118,83.22795
Indian Oil Petrol Bunk,17.6848,83.20186
Ravi Rays Indian Oil Petrol Bunk,17.66125,83.16752
