Bharat Petroleum Petrol Pump  SRI LAXMI SAMANVITHA AGENCIES,18.14501,83.38992
Parameswari filling station.Indian Oil Petrol Bunk,18.13351,83.38794
Sai Balaji Enterprises,18.11926,83.3881
Hp Petrol Pump,18.11917,83.38822
Bharat Petrol Pump,18.11885,83.38795
Police Petrol Bunk,18.11712,83.39399
Bharat Petroleum Petrol Pump -General Enterprises,18.10728,83.39633
Hindusthan Petroleum,18.10726,83.39649
Indian Oil,18.10718,83.3974
Bharat Petroleum Petrol Pump -Samanvitha Agencies,18.10914,83.40279
Hindustan Petroleum,18.11053,83.40804
Datta Sai Agencies Petrol Bunk,18.10945,83.40888
Bharath Petrolium Filling Station,18.13667,83.4312
HP petrol Station,18.13651,83.43157
Bharat Petroleum Petrol Pump -Vizianagaram Premium Fuels,18.12518,83.42045
BP Petrol Bunk,18.11464,83.42293
Bharat Petroleum,18.09832,83.43255
Reliance Petroleum,18.08324,83.38534
