Indian Oil PK Sajeev & Co,10.01468,76.95061
Kizhakkepurath Service Station,10.01176,76.95275
Bharat Petroleum Petrol Pump -Super Fuels,10.01012,76.95795
CJ FUELS ESSAR PETROL PUMP VANNAPURAM IDUKKI,9.98553,76.80337
Indian Oil PK Sajeev & Co,10.01455,76.95057
Bharat Petroleum Pump Thoppil Fuels,9.99017,76.79216
CJ FUELS ESSAR PETROL PUMP VANNAPURAM IDUKKI,9.98539,76.80332
Indian Oil Pump (Sarathy Fuels),9.99585,76.78524
esser petrolem,9.99649,76.78368
HP PETROL PUMP - KIZHAKKEDATHU FUELS,9.91745,76.96191
SRM Fuels (INDIAN OIL PETROL PUMP),9.88503,76.96874
Indian Oil Petrol Pump (PK Krishnan Nair),9.8549,76.96184
Alappattu Fuels IOC Pump,9.91015,76.8087
Bharat Petroleum Petrol Pump -N P Fuels,9.92321,76.77625
HP PETROL PUMP - MARAVETTICKAL FUELS,9.9148,76.74302
Njaloor Fuels-IOCL,9.88947,76.75186
Chunatu Fuels Muthalakodam,9.90719,76.73087
Indian Oil Pump Quality Fuels,9.9018,76.72561
Petrol Bunk,9.89592,76.72055
Bharat Petroleum Pump Mahima Fuels,9.90019,76.7123
Divine Fuels (IOCL),9.89586,76.72056
Hindustan Petroleum Kizhakkedathu Quality Fuels,9.90205,76.71232
Indian Oil Prakash Fuels,9.90309,76.71151
Hindustan Petroleum Pump Naveen Fuels,9.89791,76.70441
Bharat Petroleum Petrol Pump -Moozhickal Fuels,9.88489,76.64089
St. George Fuels,9.79641,76.84728
Bharat Petroleum Petrol Pump  VKV FUELS,9.77413,76.76227
Melukavu Fuels ESSAR Retail Outlet,9.78496,76.76291
Essar Fuels Pump Kuzhivelil Fuels,9.83735,76.68086
Hindustan Petroleum Pump,9.84807,76.68506
Petrol Pump,9.86811,76.69961
Patrol pump,9.91485,76.69258
Indian Oil Pump,10.00252,76.73933
Nellippillil Fuels -Hindustan Petroleum,9.97224,76.60518
Hindustan Petroleum Pump CV Brothers,9.94586,76.63728
Essar Fuels Pump Mariya Fuels,9.93422,76.65958
Indian Oil Pump Kalloorkad Fuels,9.96473,76.66582
Bharat Petroleum Petrol Pump -Surya Fuels,10.01372,76.71043
CCM Fuels,9.96554,76.70974
Indian Oil Pump,10.0051,76.68606
