Uliyathaduka Petrol Pump,12.54361,74.99979
Bharat Petroleum Petrol Pump -Bharat Petroleum Agencies,12.53103,74.96862
Indian Oil Petrol Pump,12.50963,74.98592
HAJI CTM BROTHERS,12.50344,74.99294
Bharat Petroleum Petrol Pump -Prakash Agencies,12.5065,74.99418
Bharat Petroleum Petrol Pump -K.V. Kamat & Co.,12.50885,74.99571
T. A.ahmed Petrol Pump,12.50964,74.99592
IOC Fuel station,12.51309,74.99882
BPCL Fuel Station,12.51531,75.00788
Hindustan Petroleum Sri Gopalakrishna Service Station,12.51814,75.01501
Bharat Petroleum Petrol Pump -M A Agencies,12.51703,75.02008
Bharat Petroleum Petrol Pump  FUELEX SERVICES,12.5796,75.07313
Hindustan Petroleum Berka Petroleum Agencies,12.54207,75.07125
Petrol Pump,12.5104,75.05047
Sree Lakshmi HP petrol station bovikanam,12.50722,75.09339
Poinachi Petrol Station,12.45827,75.05889
Hindustan Petroleum Danik Narayan Petroleum Agencies,12.44537,75.02301
Indian Oil,12.45626,75.01494
HP PETROL PUMP - CHATTANCHAL FUEL AGENCIES,12.45844,75.05906
