Indian Oil Prem Raj Fuels,8.92287,76.55786
HP PETROL PUMP,8.90858,76.56044
Nayara Fuel Station (JE & JE Fuels),8.90345,76.56327
Hindustan Petroleum,8.89495,76.57321
Indian Oil,8.89696,76.5675
Kadayil Fuels Essar,8.8867,76.57537
K.K.BHARAT GAS GODOWN,8.89225,76.57113
Bharat Petroleum Petrol Pump -General Oil Services,8.88673,76.59097
Indian Oil Supplyco,8.8875,76.59538
Bharat Petroleum Petrol Pump -Radhas Fuels,8.88941,76.60017
Hindustan Petroleum - Aleyamma Mathew Fuel Station,8.89023,76.60048
Indian Oil (PATTATHUVILA FUELS),8.89448,76.60649
Bharat Petroleum Petrol Pump -Sushama Petroleum Agency,8.90266,76.62122
BP Petrol Pump,8.90366,76.62226
I O C Petrol Pump Karicode (sundale fuels),8.91331,76.62927
Indian Oil,8.8902,76.61873
HPCL Petrol Pump CNG station,8.88866,76.63247
INDIAN OIL PETROL PUMP .CHITHIRA PETROLEUM,8.89582,76.63943
Bharat Petroleum Petrol Pump -Fuels Centre,8.88338,76.59553
Pallimukku Petrol Pump,8.87544,76.62667
Indian oil Petrol Pump,8.86619,76.66362
Indian Oil Aswathy Fuels,8.86689,76.66513
Indian Oil Petrol Pump Lekshman Fuels,8.86509,76.62217
Bharath Petroleum Fuel Station,8.90496,76.68313
