Indian Oil,9.62881,76.53702
Hindustan Petroleum Century fuels,9.62055,76.53384
Payyil Fuels Hindustan Petroleum,9.60493,76.51477
BPCL Fuel Pump,9.59283,76.52206
Joseph Anthony & Sons Petrol Pump,9.58897,76.53042
Hindustan Petroleum Fuel station,9.58997,76.53208
Bharat Petroleum Petrol Pump,9.58855,76.53512
Bharat Petroleum company limited - City Fuels,9.58839,76.53931
Josco oils-Indian Oil fuel station,9.58767,76.54062
Indian Oil,9.58553,76.5235
Paramount Corporation Bharat Petroleum,9.58474,76.52154
Thomas Chacko & Co Hindustan Petroleum,9.58234,76.52168
Babys Service Centre Hindustan Petroleum,9.5804,76.52027
Bharat Petroleum,9.5755,76.51974
Bharat Petroleum Petrol Pump -T K Kuruvilla (Thachara) & Co,9.57554,76.52
(LPG)Indian Oil Petrol Bunk for lpg (Malayalam fuels),9.57394,76.5193
Supplyco Petrol Pump,9.56825,76.5199
