Bharat Petroleum Pump City Petrols,11.28494,75.76871
Indian Oil,11.27833,75.78047
Indian Oil,11.27602,75.77215
Hindustan Petroleum Choisons,11.27336,75.77772
Bharat Petroleum/CNG  Petrol Pump -K P Kunhiraman & Son(Nadakkavu),11.2708,75.77755
Hindustan Petroleum Pump,11.27033,75.77622
Reliance Petroleum,11.26848,75.79056
Bharat Petroleum,11.262,75.7773
Indian Oil Pump - KTC Group,11.26124,75.79386
Indian Oil Ksrtc,11.25964,75.7818
Hindustan Petroleum Pump,11.25851,75.80176
Indian Oil Pump,11.25497,75.78429
Bharat Petroleum,11.25165,75.77644
Indian Oil,11.25009,75.78369
Bharat Petroleum Petrol Pump -K P Kunhiraman & Son(Kallai Road),11.24399,75.78511
HP Petrol Pump,11.225,75.79193
Indian Oil,11.22311,75.79262
Narikkuni Petroleum,11.36845,75.85912
Bharat Petroleum- PK Petroleum,11.32852,75.88598
Indian Oil Pump Souparnika Petroleum,11.29199,75.81526
Hindustan Petroleum Mangala Fuels,11.27027,75.84238
Perumanna Petrol Pump,11.2393,75.87517
Hindustan Petroleum Pump,11.22216,75.85568
Indian Oil Pump Chambayil Petroleum,11.23437,75.84667
Hindustan Petroleum Pump,11.22233,75.8556
Petrol Pump,11.22626,75.83646
