Bharat Petroleum,10.79754,76.63912
H P Petrol Pump - CVM AUTO FUELS,10.78734,76.6424
Peeveear Fuel Service,10.77088,76.63265
Bharat Petroleum Petrol Pump -V.K.Petro Park,10.73815,76.63328
Indian Oil Pump Motherland Fuels,10.78136,76.65384
PJR Petrol Pump,10.77454,76.65336
Bharat Petroleum Petrol Pump -M.A.Ahamad Rawther & Co.,10.77308,76.65262
Indian Oil,10.76797,76.65045
Petrol Filling Station Yakkara,10.75592,76.65158
GAS EMART (IOCL PUMP),10.72936,76.64705
PJR Petrol Pump,10.77455,76.65337
Bharat Petroleum Petrol Pump -M.A.Ahamad Rawther & Co.,10.7731,76.65261
S. R. K fuels. ഇന്ത്യൻ ഓയിൽ ഇന്ധന സ്റ്റേഷൻ. Chittur road Palakkad,10.76424,76.6606
Reliance Petrol and LPG Pump Mayilvahanam fuels,10.7788,76.66647
HP,10.76143,76.66391
Thiruvonam Fuels IOC Dealer Petrol-CNG Station,10.76977,76.66789
Bharat Petroleum Petrol Pump -Hameed Auto Fuels,10.77261,76.67291
Indian Oil Balaji Fuels,10.77238,76.67704
