Meenakshi Fuels,9.2979,76.72971
Indian Oil Pump,9.32418,76.74674
Kalloth Auto fuels,9.33758,76.82715
Royal Fuels - Indian Oil,9.28027,76.79728
PETROL,9.26795,76.79092
Priyanka fuels Indian oil,9.26831,76.79814
Ambady Gas Agencies,9.2653,76.80513
Indian Oil Kairali Fuels,9.26632,76.80705
Bharat Petroleum Petrol Pump -Therakath Auto Fuels,9.26568,76.78505
Indian Oil,9.26432,76.77851
HP Petrol Pump,9.2617,76.78094
Bharat Petroleum Petrol Pump -Kurungattu Fuels,9.25919,76.78476
Bharat Petroleum Madhava Fuels,9.2635,76.71032
Hindustan Petroleum,9.26808,76.70926
Indian Oil (Poovanmala reena Fuels),9.25961,76.70908
Pratheesh Fuels Indian Oil,9.15059,76.73404
Bharat Petroleum,9.15236,76.7359
Bharat Petroleum Petrol Pump -Standard Auto Fuels,9.15295,76.73655
Ebenezer Fuels Reliance Petrol Pump adoor,9.15268,76.74255
Hindustan Petroleum Panchajanyam Charitable Trust,9.14913,76.75565
M/s. K. Ramachandran Nair- Indian Oil Dealer,9.14742,76.76261
Indian Oil,9.19104,76.77053
Kalluvila Fuels,9.21036,76.84909
HP Petrol Pump,9.22048,76.85204
Mallelil Fuels Bharat Petroleum,9.23168,76.84812
HP Petrol Pump,9.24622,76.75677
Bharat Petroleum Petrol Pump,9.24347,76.75647
Krishna Fuels Indian oil,9.20191,76.74465
Bharat Petroleum Petrol Pump -Tharayil Fuels,9.21028,76.74618
Karunya fuels,9.1986,76.74483
Aswathy Fuels,9.19104,76.77052
