Indian Oil Petrol Pump,11.00938,76.94423
Indian Oil Petrol Station,10.9816,76.96155
Bharat Petroleum Petrol Pump  PVS & CO,11.01745,77.03968
Indian Oil Petrol Bunk,11.02767,76.95139
Bharat Petroleum Petrol Pump -A.B.T. Ltd.,10.97682,76.96181
Bharat Petroleum Petrol Pump -Nelar,10.99389,76.96521
Bharat Petroleum Petrol Pump -Sree Annamar Enterprises,11.01272,76.95001
Chinthamani petrol bunk,11.01305,76.95474
Bharat Petroleum Petrol Bunk,11.05527,77.03876
Bharat Petroleum Petrol Pump -Carmel Fuel Zone,11.00064,76.98912
Petrol Pump,11.03992,77.00064
Bharat Petroleum Petrol Pump -Vinayaga Petrofills,10.90387,76.97324
Bharat Petroleum Petrol Pump -Sree Velmurugan Agencies,11.01164,76.94307
Indian Oil Petrol and Diesel Station,11.04294,76.93976
Indian Oil Petrol Pump & AUTO LPG,10.98406,76.92894
Indian Oil Petrol Bunk,10.99726,76.99552
Indian Oil Petrol Bunk,11.10423,76.98097
