Abi Bunk,10.92463,78.04905
Sri Venkateswara Petrol Bunk,10.9088,78.10005
Bharat Petroleum Petrol Pump -Arul Agency,10.9168,78.12025
Indian Oil Petrol Bunk,10.93409,78.05436
Sri Murugan Agencies - Indian Oil Fuel station,10.91786,78.04348
Bharat Petroleum Petrol Pump -Surya Traders,10.92464,78.04905
VKA Petrol Bunk,10.91712,78.09455
AKC Petrol Bunk,10.96122,78.06561
AVS & AVR Petrol Bunk,10.95644,78.08274
L.G.B. ( L.G.Balakrishnan & Brothers ) HP Petrol Pump,10.95991,78.07243
A1 Fuels,10.97159,78.07847
Bharat Petrol Bunk,10.96457,78.0643
HP PETROL PUMP - HP COCO KARUR,10.95726,78.06023
VNC Gas Station Petrol Bunk,10.94473,78.11147
HP PETROL PUMP - HP COCO,10.94434,78.11567
Bharat Petroleum Petrol Pump -Athi V.Suryanarayana &,10.95612,78.08237
AVS & AVR PETROL BUNK,10.96404,78.0813
Rayanur Petrol Pump,10.94374,78.08468
VKG Petrol Pump,10.96196,78.06345
Bharat Petroleum Petrol Pump -Shri Angu Petro Corp.,10.96736,78.09329
Indian Oil Petrol Pump,10.92852,78.09206
VS Fuelss BPCL,10.96733,78.05016
