Bharat Petroleum,12.52709,78.21268
Ttdc Petrol Pump,12.53037,78.2154
Indian Oil Petrol Pump,12.52248,78.219
Reliance petrol bunk,12.52657,78.21496
HP PETROL PUMP - AYESHA FUELS,12.53001,78.21648
Indian Oil Petrol Pump,12.51861,78.21372
S P Vikkram Fuel Agencies,12.52868,78.21148
Hindustan Petroleum,12.51888,78.22144
KAKC Petrol Bunk,12.51094,78.22247
Indian Oil Petrol Pump,12.53895,78.20274
KRC FUELS INDIAN OIL,12.52064,78.22748
Bharat Petroleum Petrol Pump -B.K. Periamuniswamy Gounder & Sons,12.5422,78.20176
Bharat Petroleum,12.50813,78.22132
Petrol Pump,12.51947,78.22461
Sri Murugan ESSAR Petrol Bunk,12.53055,78.23309
Indian Oil Petrol Bunk,12.5015,78.22282
KNS Agency,12.52175,78.21944
Bharat Petroleum,12.51455,78.233
K S Fuels HP Petrol Pump,12.53113,78.23534
