HP Petrol,11.10082,79.64861
Aruna Agencies Petrol Pump,11.09567,79.6407
HP PETROL PUMP - O S M PETROLEUM,11.10279,79.64778
Indian oil,11.09769,79.65868
Hindustan Petroleum,11.10004,79.64655
Nayara Petrol Pump,11.09227,79.64838
HP Petrol Pump,11.09904,79.66697
Bharat Petroleum Petrol Pump -D.X.F. Agencies,11.09918,79.64522
Hindustan Petroleum,11.09443,79.63451
Sivasathi Agency Indian Oil Retail Outlet,11.11949,79.64308
B T Pillai and Sons Petrol Pump,11.10719,79.65198
Indian Oil Petrol Pump,11.07884,79.64625
Bpcl Petrol Bunk,11.09537,79.60882
Hindustan Petroleum,11.06893,79.64637
Indian Oil Petrol Pump,11.07738,79.58081
Barath petroleum,11.12307,79.74746
