Indian Oil Petrol Pump Kamakshi AGENCIES Karuvazhakkarai,11.11531,79.72155
Barath petroleum,11.12307,79.74746
Essar petrol punk,11.12693,79.75262
MARS PETROLEUM PRODUCTS - Indian Oil Petrol Pump,11.20055,79.71943
Bharat Petroleum Petrol Pump -Krishna Agencies,11.21546,79.73775
Bharat Petroleum Petrol Pump -D.X.F. Agencies,11.09918,79.64522
Bharat Petroleum Petrol Pump -K.S.N.Agency,11.24364,79.74845
Indian Oil,11.09734,79.79969
Balaji Agencies petrol pump,10.8119,79.82683
Bharat Petroleum Petrol Pump -Premkumar Enterpries,11.09535,79.60903
Hari Petrol Bunk,11.0242,79.5927
Bpcl petrol bunk,10.80798,79.82703
Indian Oil Petrol Pump,11.07883,79.64625
Bharat Petroleum Petrol Pump -N S Chettiar & P P C Chettiar,10.78686,79.8384
Indian Oil,11.10507,79.72845
Meenakshi Associates Bharat Petroleum,11.19279,79.70986
IOCL petrol bunk USHA AGENCIES,10.97415,79.75575
BHARATH ENTERPRISESBPCL DEALER,11.09049,79.62067
Shell Petrol Station,10.99153,79.56853
Hindustan Petroleum,10.76368,79.72456
Indian Oil Petrol and CNG Bunk,10.75978,79.8381
