Indian Oil Petrol Pump,11.22436,78.17023
Bharat Petroleum Petrol Pump -Ashoka Traders,11.23666,78.16602
Indian Oil Petrol Bunk,11.21854,78.17527
PSK Petrol Pump,11.24784,78.1655
Essar Fuel Bunk,11.23438,78.15426
Bharat petroleum,11.23395,78.16516
Bharat Petroleum,11.22553,78.16357
VR&Co Iocl Petrol Pump,11.25359,78.15809
Bharat Petroleum Petrol Pump -Thirumurugan Service Station,11.22059,78.16396
Bharat Petroleum Petrol Pump -Sivasakthi Agency,11.21443,78.17337
Bharat Petroleum Petrol Pump -Elumalaiyan Transport,11.20642,78.16796
Veesumani Petrol pump,11.24096,78.16589
GasPlus,11.21927,78.16106
TPN BUNK,11.21148,78.16771
Bharat Petroleum,11.21756,78.18665
Hindustan Petroleum,11.19818,78.18696
Bharat Petroleum Petrol Pump -Southern India Lpg (Bulk) Tpts Assn,11.22357,78.16697
