Indian Oil Petrol Pump,8.95316,77.31476
Reliance Petroleum,8.97225,77.30072
m/s VS Mahadeva Iyer petrol pump,8.95562,77.30584
HP PETROL PUMP - P CHIDAMBARAM PILLAI,8.96056,77.30728
Bharat Petroleum Petrol Pump -V S Mahadeva Iyer,8.95303,77.31524
Meera Bio Fuel,8.9558,77.31003
Indian Oil,8.94937,77.31994
Ragava raja,8.96388,77.3111
Bharat Petroleum Petrol Pump -Sri Krishna Agencies,8.94411,77.32423
VVG AUTOMOBILES,8.99742,77.29938
sathya indane gas,8.95542,77.30996
HP PETROL PUMP - MEERA INDUSTRIES,8.97047,77.26315
Sri chockalingam fuels,8.96217,77.28855
NUM CHANTHIRA INDIANOIL PETROL PUMP,8.93358,77.274
Indian Oil Petrol Pump,8.92332,77.36274
Kanthimathi Enterprises,8.90757,77.32552
HP PETROL PUMP - EKM AGENCY,9.02,77.25347
HP PETROL PUMP - SRI ENTERPRISES,8.91373,77.38464
Petrol Pump,8.97258,77.2605
Indian Oil Petrol Pump,8.97101,77.26263
