Samy Fuel Service (With Auto GAS Station),8.82229,78.13046
Bharat Petroleum Petrol Pump -Balaji Fuel & Service Station,8.80559,78.14429
Boopathy Fuel Station - HP petrol bunk,8.80727,78.14139
Susee Petrol Pump,8.81704,78.13323
Bharat Petroleum LPG Filling Plant Thoothukudi,8.79031,78.1064
Bharat Petroleum Petrol Pump -Srinivasa Fuel Service,8.80512,78.14428
HP Petrol Pump - Arasan Service Station,8.80527,78.14493
Reliance Fuel Station,8.7743,78.08718
Indian Oil Petrol Pump With Auto GAS Station,8.75372,78.12952
Bharat Petroleum Petrol Pump -Thoothukudi Lorry Owners Associate,8.85624,78.11864
Indian Oil,8.78629,78.14085
Bharat Petroleum Petrol Pump  TAMIL NADU FISHERIES DEVELOPMENT,8.79446,78.15845
Aravind Gas Station,8.79793,78.14185
Petrol Pump,8.80291,78.15558
ESSAR PETROL BULK - ELSHADDAI FUELS & WEIGHBRIDGE,8.82429,78.068
Ammayapper petrol bunk,8.80345,78.08494
Indian Oil Petrol Bunk,8.81316,78.16175
HP PETROL PUMP - CHITRA AGENCY,8.78305,78.10258
Raj Petroleum,8.79116,78.11829
Bharat Petroleum Petrol Pump -Tamil Nadu Fisheries Development Co,8.79254,78.16156
