Reliance Petrol Bunk Anantapur,14.70015,77.58854
BP fuel stop & CNG Filling stations Anantapur,14.68995,77.58374
MG Brothers HPC Dealers ,14.6868,77.58398
Sri Surya Narayanaswamy Auto Fuels ,14.68607,77.59617
Dwaraka Petroleums,14.68708,77.60131
Indian Oil Petrol Pump,14.68776,77.60732
Indian Oil Petrol Bunk,14.68078,77.59715
Meda Ramaiah Setty & Co - Indian Oil Petrol Bunk,14.6775,77.60371
Bhaskar Petrol bunk,14.68353,77.6158
Sri Ram Petroleums,14.67872,77.5831
Indian Oil Petrol Bunk,14.67382,77.59329
IINDIAN OIL PETROL BUNK ( SREENIVASA FILLING STATION ),14.66711,77.58038
HP PETROL PUMP - SRI LAKSHMI VENKATA SAI AUTOMOBIL,14.66534,77.61257
Reliance Petrol Bunk,14.66431,77.61324
Bharat Petroleum Petrol Pump -Siva Filling Station,14.65928,77.61507
Bharath petrol pump,14.65685,77.61016
Rama Devi Fuels,14.65005,77.57662
Indian Oil Petrol Bunk,14.64501,77.6195
Sree Keerthi Fuels Indian Oil Petrol Pump,13.45399,79.16016
Bharat Petroleum Petrol Pump  KARTHIK FUEL SERVICE STATION,13.40621,79.62312
Sri Balaji Oil Agencies Indian Oil Petrol Pump,13.24917,79.11939
Bharat Petroleum Petrol Pump -V Bhaskar Naidu & Co,13.22141,79.10205
DURGAM OIL FILLING CENTRE,13.2201,79.10199
Bharat Petroleum,13.22012,79.10175
Reliance Petroleum,13.21954,79.10036
HP Petrol Pump,13.21587,79.11165
Bharat Petroleum Petrol Pump  WELCOME FILLING STATION,13.21953,7912009
Sri Krishna Filling Station,13.22305,79.12541
Sri Krishna filling stationIOCL outlet,13.22346,79.12825
HP PETROL PUMP - C.P.DORAISWAMY & CO.,13.21451,79.09912
Indian Oil Petrol Pump Krishna Reddy & Sons,13.2134,79.09702
Vijaya Durga Service Station IOCL Petrol Pump,13.19666,79.09343
Bharat Petroleum Petrol Pump -G.J.N Translines,13.18657,79.09672
H.P Petrol Bunk,13.07295,79.13649
Essar Petrol Station,12.9908,78.47273
Bharat Petroleum Petrol Pump -Chakka Sriramamurthy &Suryanarayana,17.34264,82.50996
HP Petrol Pump,17.32168,82.47922
SRI SATYA SRINIVASA FILLING STATION,17.27241,82.39357
HP Petrol PumpCNG filling station,17.242,82.33867
Sri Rama Stores Indian Oil Petrol Pump,17.11019,82.25415
Bharat Petroleum Petrol Pump -Chakka Sriramamurthy &Suryanarayana,17.10618,82.24755
HP PETROL PUMP - PAVAN FILLING STATION,16.98568,82.24093
Bharat Petroleum Petrol Pump -Bharat Ravi Varma Filling Station,16.90817,82.19632
HP PETROL PUMP - VEERA SAI SRI NAGENDRA AGENCIES,16.7933,82.24087
Sai Durga General Store,16.76197,82.23723
Essar Petrol Station,16.82009,82.10767
Bharat Petroleum Petrol Pump -Padma Petroleums,16.93582,81.95382
Bharat Petroleum Petrol Pump -V.Veeraraju,16.93346,81.92338
Indian Oil,16.87516,81.92847
ESSAR Petrol Filling Station,16.85879,81.98244
ABC FUELLING STATION,16.86331,81.92228
Bharat Petroleum Petrol Pump -Konaseema Petrofill,16.74394,81.83381
Bharat Petroleum Petrol Pump -Raj Petros,16.74242,81.83486
Bharat Petroleum Petrol Pump -Buchibabu Filling Centre,16.72519,81.83058
HP PETROL PUMP Kalagampudi - SSS SRINIVASA'S FUEL ENTERPRISES,16.46754,81.7598
Sri Dhanalaxmi Petrol Bunk,16.56775,80.35764
Universal Oils,16.42615,80.57033
Subham Filling Centre,16.33884,80.42065
Amaravati Petroleums IOCL,16.32399,80.40517
amaravati petroleums,16.32051,80.4098
Swathi Filling Station,16.32476,80.43794
MRS FILLING STATION,16.31761,80.48409
Indian Oil Petrol Bunk,16.31544,80.48255
Bharat Petroleum Petrol Pump -Nageswara Service Station,16.29945,80.42928
Raju Brothers Service Station,16.29191,80.43975
PDR Petrol Bunk,16.29086,80.44236
Bharat Petroleum Petrol Pump -Pioneer Oils,16.29733,80.44636
Petrol Bunk,16.2928,80.45062
Bharat Petroleum Petrol Pump - A V Krishna Murthy & Sons,16.29346,80.45083
Petrol Indian Oil,16.29651,80.45533
Hp petrol bunk,16.29379,80.4555
Bharat Petroleum Petrol Pump -Ch.L.Narasimham & Co,16.30152,80.45903
Kasturi Petroleum,16.27511,80.43582
Indian Oil,17.03031,80.71076
MS/HSD SRI SAI SRINIVASA FILLING STATION,16.93596,80.78625
Srimannarayana Filling Station Indian Oil Petrol Pump,16.89917,80.64342
Bharat Petroleum Petrol Pump -Hanuman Filling Station,16.79139,80.85079
Bharat Petroleum Petrol Pump -Sri Venkateswara Service Station,16.68125,80.39314
Bharat Petroleum Petrol Pump -Sri Balaji Filling Station,16.69424,80.94126
Bharat Petroleum Petrol Pump -Sri Venkateswara Automobiles,16.63372,80.97284
Bharat PetroleumCNG filling Petrol Pump -Sardar Singh Sahni & Sons,16.57714,80.85474
Bharat Petroleum Petrol Pump -K.Venkata Krishna Rao,16.54686,80.81354
Kishore Filling Station,16.60477,80.71741
HP CNG GAS & PETROL PUMP - RADHA KRISHNA SERVICE STATION: since 1968,16.49025,80.60205
Bharat Petroleum Petrol Pump -Venus Petromax,16.4323,80.99962
