KR BHUTTO FILLING STATION,14.49445,78.80101
HPCL Petrol / Diesel (K.S.CHETTY and SONS),14.4889,78.80695
MDH Petrol Pump,14.48583,78.81513
HP PETROL PUMP - K.S.CHETTY & SONS,14.48051,78.82049
Reliance Petroleum,14.47835,78.82129
BPCL APPWS POLICE FUEL STATION,14.47606,78.82216
HP Petrol Pump,14.47494,78.82216
Bharat Petroleum Petrol Pump -K.S.R. Filling Station,14.47901,78.82907
Durga Petrol Bunk,14.47326,78.81217
Bharat Petroleum Petrol Pump -Hari Brothers (I),14.46977,78.81445
Indian Oil Petrol Pump(Tahar),14.46437,78.81569
KSR Filling Station,14.48747,78.83177
HP PETROL PUMP - AMEER FUEL FILLING STATION,14.48671,78.83091
Bharat Petroleum Petrol Pump -K.S.R. Filling Station,14.47902,78.82908
Bharat Petrol Bunk,14.47711,78.83528
Petrol Station,14.48022,78.8437
Vasavee Filling Station-Essar,14.47786,78.83968
Indian oil Raghu Filling Station,14.47511,78.83945
Super Gas,14.46286,78.84307
ESSAR Petrol Station,14.46758,78.85436
Indian Oil Petrol Pump,14.46372,78.86307
Petrol Pump,14.45065,78.80782
Bharat Petroleum Petrol Pump -I.B.C Service Station,14.43511,78.80302
HP petrol bunk,14.41508,78.80113
Anagha Fuels,14.40336,78.80018
Teja Filling Center,14.46513,78.83299
M/s. Kranti Filling Station,14.46524,78.83413
RTC Petrol Pump,14.46556,78.82961
