Indian Oil Pump Madhavam Fuels,10.53986,76.19197
Trichur Petrol Sales and service,10.51444,76.21597
Kangappadan fuels (Indian Oil - CNG & Petrol Pump),10.55903,76.23876
Bharat Petroleum Petrol Pump -P.V.Narayanan & Co.,10.52373,76.20878
Bharat Petroleum Petrol Pump -Ambadi Service Centre,10.5293,76.21502
Indian Oil Petrol Pump,10.53945,76.21516
Grand fuel station,10.52765,76.21443
Indian Oil Pump,10.46738,76.24566
INDIAN OIL PUMP - BYPASS PETROLEUM,10.51764,76.25822
Sahakarana Fuels Indian Oil Petrol & CNG Station,10.47607,76.24379
ANGEL FUELS (Indian Oil Pump),10.51133,76.21938
Bharat Petroleum Kuriachira(nehrunagarenterprises),10.50485,76.22543
Indian Oil Petrol Pump,10.48846,76.28758
BMT Fuels & Petrol pump,10.51476,76.21891
Bharat Petroleum Petrol Pump -Trichur Dist Pvt. Bus Oprts Assn,10.52766,76.21526
Bharat Petroleum Petrol Pump -Janakiram Enterprises,10.51212,76.21113
Freedom Petrol Pump and CNG - Pudukkad Thrissur,10.56119,76.21768
ORIENT FUELS Bharat Petroleum Pump,10.52528,76.21193
Bharat Petroleum Petrol Pump -Ollur Fuels,10.46978,76.24414
Bharat Petroleum Pump PN Krishna Iyer & Sons,10.53525,76.21544
HP Petrol Pump Patturaikkal,10.53831,76.21221
