S.MAHAVEERCHAND JAMADINDIANOIL PETROL PUMP.,12.68294,79.98254
Indian Oil Petrol Bunk,12.66951,80.00944
BP Petrol,12.68285,79.98677
Indian oil Petrol Pump -Sri Ranga Agencies,12.69019,79.98088
Bharath petroleum CNG AG&P CNG gas,12.69392,79.96547
Bharath Petroleum (SPEED),12.70324,79.96493
KR Fuels - Auto LPG Station - Chengalpattu,12.70025,79.96651
IOCL Fuel Station,12.69104,79.98146
HP Petrol Bunk,12.68839,79.98295
Bharat Petroleum Petrol Pump -M.Vedachala Mudaliar & Co.,12.69546,79.97704
IOCL petrol pump,12.68682,79.98046
Bp Petrol bunk,12.69044,79.98135
Indian oil CNG,12.67174,79.95899
Mubaarak Taj Agencies BPCL Petrol Bunk,12.71551,79.95767
Hindustan Petroleum,12.71788,79.95668
Bharat Petroleum Petrol Pump -M.Vedachala Mudaliar & Co.,12.6573,79.95843
Indian Oil Petrol Bunk,12.67515,79.95893
Bharath Petroleum,12.69983,80.07547
Bharat Petroleum Petrol Pump  BP MAHINDRA CITY,12.73753,80.00229
Petrol bunk,12.69366,79.9656
