HP PETROL PUMP - C RAJAGOPAL,11.73779,78.96682
Indian Oil Petrol Pump,11.73145,78.96145
HP PETROL PUMP - MKB TRANSPORTS,11.73795,78.97359
Bharat Petroleum Petrol Pump -A R Damodara Mudaliar & Co.,11.7272,78.95936
Indian Oil Petrol Pump,11.73883,78.94372
HP PETROL PUMP - SRIMMA AGENCIES,11.74439,78.96379
Hindustan Petroleum,11.73825,78.96701
Bharat Petroleum,11.73211,78.9615
Indian Oil PETROL BUNK,11.73662,79.00015
R.V.N. Petrol Bunk,11.74751,78.96192
A.K.T Petrol Pump,11.7377,78.98631
DMR GAS AGENCY,11.72083,78.95517
Nayara energy ( formerly Essar Petrol Pump),11.7095,78.94655
Hindustan Petroleum,11.73995,78.93279
