PONRAJ FUEL STATION,9.36617,78.81668
Indian Oil Petrol Pump,9.35931,78.84353
Murugesan Petrol Pump,9.36524,78.82619
Bharat Petroleum Petrol Pump -V. Sivasamy Rengammal Fuels,9.37294,78.83963
Indian Oil Petrol Pump,9.36501,78.82873
M.R. Fuel Station (BPCL RO),9.36634,78.81181
Bharat Petroleum Petrol Pump -Marakayar Brothers,9.35266,78.87584
CNG GAS FILLING PUMP,9.35931,78.84394
Hindustan Petroleum,9.35967,78.83801
BHARAT PETROLEUM RETAIL OUTLET SREE PERIYANDAVAR FUELS,9.35563,78.86995
Muthunal Land,9.36394,78.83949
KJA Filling Station - Petrol Pump,9.38699,78.82308
HP Petrol Pump MMKR Agencies,9.39402,78.81953
Soorankottai Colony,9.38091,78.82536
APM BPCL Petrol Bunk,9.35237,78.87628
Petrol Bulk,9.37349,78.83979
JEEVAN FUELS IOCL DEALER,9.37242,78.83947
Essar Petrol Bunk,9.37034,78.77248
INTHIYA AUTOGAS AGENCY,9.33409,78.8381
