ESSAR Petrol Station,9.86421,78.47964
MICHAEL PETROL,9.84785,78.48955
Naaveen Filling Station - Indian Oil,9.83474,78.48233
IOC Fuel Station,9.84808,78.48849
Indian Oil,9.84937,78.48567
Hindustan Petroleum,9.84856,78.48864
Valampuri Fuels,9.8433,78.48088
Petrol Pump,9.88544,78.48952
VALAMPURI FUEL'S,9.84082,78.45452
Indian Oil Petrol Pump (Venus Filling Station),9.91032,78.44671
SKA FUELS Indian Oil Petrol Station,9.80505,78.50635
SRI KIRTHI HP GAS GODOWN,9.79514,78.45813
Bharat Petroleum,9.86166,78.54782
ஊத்திக்குளம்,9.80855,78.5048
Bharat Petroleum,9.93678,78.51616
Petrol Station,9.83093,78.63591
Indian Oil Petrol Pump,9.72956,78.40491
Indian oil,9.84399,78.45513
Ponni Filling Station-Indian Oil,9.68109,78.45141
