Bharat Petroleum Petrol Pump -Bharat Agency,10.788,79.14333
COVAI LPG - AUTO GAS - THANJAVUR,10.76405,79.12438
PLA Petrol Pump,10.77748,79.14189
Indian Oil,10.78378,79.1389
Reliance Petrol Pump,10.76207,79.12308
VRKFUELS INDIAN OIL PETROL PUMP,10.77483,79.12351
Bharat Petrol Pump பாரத் எரிபொருள் நிலையம்,10.77166,79.1162
Petrol Bunk,10.79904,79.13805
Bharat Petroleum Petrol Pump -Tanjore Filling Station,10.77761,79.14115
Bharat Petroleum Petrol Pump -Sri Srinivasa Service,10.77916,79.15922
PK Petrol Bunk,10.75013,79.11423
Haji KMC Company,10.7577,79.15528
Hindustan Petroleum,10.77914,79.15833
HP PETROL PUMP - BR AGENCIES,10.7563,79.09891
Petrol Bunk,10.73766,79.10525
Bharat Petrol Pump,10.75479,79.12188
Hp Petrol Bunk எரிபொருள் நிலையம்,10.77675,79.14133
Bharat Petroleum Petrol Pump -D. Balasubramaniam (New),10.75672,79.12311
Ranee Agencies Indian Oil fuel Pump,10.78065,79.17021
HP PETROL PUMP - WAHAB PETROL BUNK ADHOC,10.78299,79.13857
