Ayyanar Fuels Indian Oil Petrol Station,8.72276,77.75032
Indian Oil Petrol Pump,8.71434,77.77996
ESSAR Fuel Station,8.7043,77.75083
Bharat Petroleum,8.72948,77.70824
Indian Oil Petrol Bunk(freedom filling station),8.70574,77.72998
Bharat Petroleum Gas Station,8.72631,77.72873
Reliance Petroleum,8.70372,77.72094
TVS Petrol Bunk of BPCL,8.72764,77.72009
Bharat Petroleum Petrol Pump -Rajashri Fuels,8.72726,77.72587
HP Petrol Station,8.69808,77.72724
Petrol Bunk,8.75419,77.70479
Coco Indian oil petrol pump,8.73559,77.76014
Bharat Petroleum Petrol Pump -Thiru Venkateswara Agency,8.72634,77.72875
Bharath Petroleum,8.72717,77.72625
Bharat Petroleum Petrol Pump -R.J.Pon Agencies,8.72371,77.72112
Bharat Petroleum Petrol Pump -Raja Agency,8.7288,77.69887
Anish Petro Fuel Service,8.7526,77.70386
HP Petrol Pump Rajkamal Fuels,8.72214,77.75175
Bharat Petroleum Petrol Pump -T V Sundaram Iyengar & Sons Ltd.,8.74428,77.69711
Essar Petrol Pump,8.70768,77.70082
